Title,Title_URL,Time,Status,rcard,col12lg3_URL,col12lg3,result1_URL,result1,matchlink_URL,matchlink,Title1,Title_URL1,Time1,Status1,rcard1,col12lg3_URL1,col12l1,result1_URL1,resul1,matchlink_URL1,matchlink1
Fiorentina,https://1xbet.whoscored.com/Teams/73/Show/Italy-Fiorentina,19:30,FT,2,https://1xbet.whoscored.com/Teams/2889/Show/Italy-Sassuolo,Sassuolo,https://1xbet.whoscored.com/Matches/1651749/Live/Italy-Serie-A-2022-2023-Sassuolo-Fiorentina,1 : 3,https://1xbet.whoscored.com/Matches/1651749/MatchReport/Italy-Serie-A-2022-2023-Sassuolo-Fiorentina,Match Report,,,17:30,FT,,https://1xbet.whoscored.com/Teams/84/Show/Italy-Roma,Roma,https://1xbet.whoscored.com/Matches/1651728/Live/Italy-Serie-A-2022-2023-Roma-Salernitana,2 : 2,https://1xbet.whoscored.com/Matches/1651728/MatchReport/Italy-Serie-A-2022-2023-Roma-Salernitana,Match Report
Fiorentina,https://1xbet.whoscored.com/Teams/73/Show/Italy-Fiorentina,19:30,FT,2,https://1xbet.whoscored.com/Teams/2889/Show/Italy-Sassuolo,Sassuolo,https://1xbet.whoscored.com/Matches/1651749/Live/Italy-Serie-A-2022-2023-Sassuolo-Fiorentina,1 : 3,https://1xbet.whoscored.com/Matches/1651749/MatchReport/Italy-Serie-A-2022-2023-Sassuolo-Fiorentina,Match Report,,,19:45,FT,,,,https://1xbet.whoscored.com/Matches/1651724/Live/Italy-Serie-A-2022-2023-Empoli-Juventus,4 : 1,https://1xbet.whoscored.com/Matches/1651724/MatchReport/Italy-Serie-A-2022-2023-Empoli-Juventus,Match Report
Fiorentina,https://1xbet.whoscored.com/Teams/73/Show/Italy-Fiorentina,19:30,FT,2,https://1xbet.whoscored.com/Teams/2889/Show/Italy-Sassuolo,Sassuolo,https://1xbet.whoscored.com/Matches/1651749/Live/Italy-Serie-A-2022-2023-Sassuolo-Fiorentina,1 : 3,https://1xbet.whoscored.com/Matches/1651749/MatchReport/Italy-Serie-A-2022-2023-Sassuolo-Fiorentina,Match Report,,,19:45,FT,,https://1xbet.whoscored.com/Teams/271/Show/Italy-Sampdoria,Sampdoria,https://1xbet.whoscored.com/Matches/1651740/Live/Italy-Serie-A-2022-2023-Sampdoria-Sassuolo,2 : 2,https://1xbet.whoscored.com/Matches/1651740/MatchReport/Italy-Serie-A-2022-2023-Sampdoria-Sassuolo,Match Report
Fiorentina,https://1xbet.whoscored.com/Teams/73/Show/Italy-Fiorentina,19:30,FT,2,https://1xbet.whoscored.com/Teams/2889/Show/Italy-Sassuolo,Sassuolo,https://1xbet.whoscored.com/Matches/1651749/Live/Italy-Serie-A-2022-2023-Sassuolo-Fiorentina,1 : 3,https://1xbet.whoscored.com/Matches/1651749/MatchReport/Italy-Serie-A-2022-2023-Sassuolo-Fiorentina,Match Report,Torino,https://1xbet.whoscored.com/Teams/72/Show/Italy-Torino,14:00,FT,,https://1xbet.whoscored.com/Teams/1501/Show/Italy-Spezia,Spezia,https://1xbet.whoscored.com/Matches/1651741/Live/Italy-Serie-A-2022-2023-Spezia-Torino,0 : 4,https://1xbet.whoscored.com/Matches/1651741/MatchReport/Italy-Serie-A-2022-2023-Spezia-Torino,Match Report
Fiorentina,https://1xbet.whoscored.com/Teams/73/Show/Italy-Fiorentina,19:30,FT,2,https://1xbet.whoscored.com/Teams/2889/Show/Italy-Sassuolo,Sassuolo,https://1xbet.whoscored.com/Matches/1651749/Live/Italy-Serie-A-2022-2023-Sassuolo-Fiorentina,1 : 3,https://1xbet.whoscored.com/Matches/1651749/MatchReport/Italy-Serie-A-2022-2023-Sassuolo-Fiorentina,Match Report,,,14:00,FT,1,,,https://1xbet.whoscored.com/Matches/1651739/Live/Italy-Serie-A-2022-2023-Salernitana-Udinese,3 : 2,https://1xbet.whoscored.com/Matches/1651739/MatchReport/Italy-Serie-A-2022-2023-Salernitana-Udinese,Match Report
Fiorentina,https://1xbet.whoscored.com/Teams/73/Show/Italy-Fiorentina,19:30,FT,2,https://1xbet.whoscored.com/Teams/2889/Show/Italy-Sassuolo,Sassuolo,https://1xbet.whoscored.com/Matches/1651749/Live/Italy-Serie-A-2022-2023-Sassuolo-Fiorentina,1 : 3,https://1xbet.whoscored.com/Matches/1651749/MatchReport/Italy-Serie-A-2022-2023-Sassuolo-Fiorentina,Match Report,,,17:00,FT,,,,https://1xbet.whoscored.com/Matches/1651733/Live/Italy-Serie-A-2022-2023-Fiorentina-Roma,2 : 1,https://1xbet.whoscored.com/Matches/1651733/MatchReport/Italy-Serie-A-2022-2023-Fiorentina-Roma,Match Report
Fiorentina,https://1xbet.whoscored.com/Teams/73/Show/Italy-Fiorentina,19:30,FT,2,https://1xbet.whoscored.com/Teams/2889/Show/Italy-Sassuolo,Sassuolo,https://1xbet.whoscored.com/Matches/1651749/Live/Italy-Serie-A-2022-2023-Sassuolo-Fiorentina,1 : 3,https://1xbet.whoscored.com/Matches/1651749/MatchReport/Italy-Serie-A-2022-2023-Sassuolo-Fiorentina,Match Report,,,19:45,FT,,,,https://1xbet.whoscored.com/Matches/1651735/Live/Italy-Serie-A-2022-2023-Inter-Atalanta,3 : 2,https://1xbet.whoscored.com/Matches/1651735/MatchReport/Italy-Serie-A-2022-2023-Inter-Atalanta,Match Report
Fiorentina,https://1xbet.whoscored.com/Teams/73/Show/Italy-Fiorentina,19:30,FT,2,https://1xbet.whoscored.com/Teams/2889/Show/Italy-Sassuolo,Sassuolo,https://1xbet.whoscored.com/Matches/1651749/Live/Italy-Serie-A-2022-2023-Sassuolo-Fiorentina,1 : 3,https://1xbet.whoscored.com/Matches/1651749/MatchReport/Italy-Serie-A-2022-2023-Sassuolo-Fiorentina,Match Report,,,11:30,FT,,https://1xbet.whoscored.com/Teams/76/Show/Italy-Verona,Verona,https://1xbet.whoscored.com/Matches/1651734/Live/Italy-Serie-A-2022-2023-Verona-Empoli,1 : 1,https://1xbet.whoscored.com/Matches/1651734/MatchReport/Italy-Serie-A-2022-2023-Verona-Empoli,Match Report
Fiorentina,https://1xbet.whoscored.com/Teams/73/Show/Italy-Fiorentina,19:30,FT,2,https://1xbet.whoscored.com/Teams/2889/Show/Italy-Sassuolo,Sassuolo,https://1xbet.whoscored.com/Matches/1651749/Live/Italy-Serie-A-2022-2023-Sassuolo-Fiorentina,1 : 3,https://1xbet.whoscored.com/Matches/1651749/MatchReport/Italy-Serie-A-2022-2023-Sassuolo-Fiorentina,Match Report,,,14:00,FT,,https://1xbet.whoscored.com/Teams/71/Show/Italy-Bologna,Bologna,https://1xbet.whoscored.com/Matches/1651732/Live/Italy-Serie-A-2022-2023-Bologna-Napoli,2 : 2,https://1xbet.whoscored.com/Matches/1651732/MatchReport/Italy-Serie-A-2022-2023-Bologna-Napoli,Match Report
Fiorentina,https://1xbet.whoscored.com/Teams/73/Show/Italy-Fiorentina,19:30,FT,2,https://1xbet.whoscored.com/Teams/2889/Show/Italy-Sassuolo,Sassuolo,https://1xbet.whoscored.com/Matches/1651749/Live/Italy-Serie-A-2022-2023-Sassuolo-Fiorentina,1 : 3,https://1xbet.whoscored.com/Matches/1651749/MatchReport/Italy-Serie-A-2022-2023-Sassuolo-Fiorentina,Match Report,Lecce,https://1xbet.whoscored.com/Teams/79/Show/Italy-Lecce,14:00,FT,1,https://1xbet.whoscored.com/Teams/269/Show/Italy-Monza,Monza,https://1xbet.whoscored.com/Matches/1651738/Live/Italy-Serie-A-2022-2023-Monza-Lecce,0 : 1,https://1xbet.whoscored.com/Matches/1651738/MatchReport/Italy-Serie-A-2022-2023-Monza-Lecce,Match Report
