,home_team,away_team,date,league,season,home_score,away_score,home_xg,away_xg,datetime,home_standings,away_standings,home_points,away_points,home_points_last_4_matches,away_points_last_4_matches,home_points_last_2_home_matches,away_points_last_2_away_matches,home_goals_last_4_matches,away_goals_last_4_matches,home_goals_last_2_home_matches,away_goals_last_2_away_matches,home_goals_against_last_4_matches,away_goals_against_last_4_matches,home_goals_against_last_2_home_matches,away_goals_against_last_2_away_matches,home_mean_xg_last_4_matches,away_mean_xg_last_4_matches,home_mean_xg_last_2_home_matches,away_mean_xg_last_2_away_matches,home_mean_xg_against_last_4_matches,away_mean_xg_against_last_4_matches,home_mean_xg_against_last_2_home_matches,away_mean_xg_against_last_2_away_matches
9594,Reims,Paris Saint Germain,August 08 2014,Ligue 1,2014/2015,2,2,1.37,2.66,2014-08-08,16,15,0,0,,,,,,,,,,,,,,,,,,,,
9596,Evian Thonon Gaillard,Caen,August 09 2014,Ligue 1,2014/2015,0,3,0.81,1.24,2014-08-09,5,4,0,0,,,,,,,,,,,,,,,,,,,,
9597,Guingamp,Saint-Etienne,August 09 2014,Ligue 1,2014/2015,0,2,0.63,1.5,2014-08-09,5,18,0,0,,,,,,,,,,,,,,,,,,,,
9598,Lille,Metz,August 09 2014,Ligue 1,2014/2015,0,0,1.54,0.06,2014-08-09,7,11,0,0,,,,,,,,,,,,,,,,,,,,
9599,Montpellier,Bordeaux,August 09 2014,Ligue 1,2014/2015,0,1,1.02,0.75,2014-08-09,13,7,0,0,,,,,,,,,,,,,,,,,,,,
9600,Nantes,Lens,August 09 2014,Ligue 1,2014/2015,1,0,1.03,0.17,2014-08-09,13,8,0,0,,,,,,,,,,,,,,,,,,,,
9601,Nice,Toulouse,August 09 2014,Ligue 1,2014/2015,3,2,2.21,1.56,2014-08-09,13,16,0,0,,,,,,,,,,,,,,,,,,,,
9595,SC Bastia,Marseille,August 09 2014,Ligue 1,2014/2015,3,3,1.4,1.32,2014-08-09,15,12,0,0,,,,,,,,,,,,,,,,,,,,
9602,Lyon,Rennes,August 10 2014,Ligue 1,2014/2015,2,0,2.06,0.38,2014-08-10,13,15,0,0,,,,,,,,,,,,,,,,,,,,
9603,Monaco,Lorient,August 10 2014,Ligue 1,2014/2015,1,2,2.09,1.63,2014-08-10,14,13,0,0,,,,,,,,,,,,,,,,,,,,
9604,Caen,Lille,August 15 2014,Ligue 1,2014/2015,0,1,0.27,0.95,2014-08-15,1,8,3,1,,,,,,,,,,,,,,,,,,,,
2760,Arsenal,Crystal Palace,August 16 2014,EPL,2014/2015,2,1,1.55,0.16,2014-08-16,1,5,0,0,,,,,,,,,,,,,,,,,,,,
2755,Leicester,Everton,August 16 2014,EPL,2014/2015,2,2,1.28,0.61,2014-08-16,7,5,0,0,,,,,,,,,,,,,,,,,,,,
9608,Lens,Guingamp,August 16 2014,Ligue 1,2014/2015,0,1,0.91,1.0,2014-08-16,14,18,0,0,,,,,,,,,,,,,,,,,,,,
9609,Lorient,Nice,August 16 2014,Ligue 1,2014/2015,0,0,1.03,0.33,2014-08-16,6,8,3,3,,,,,,,,,,,,,,,,,,,,
2754,Manchester United,Swansea,August 16 2014,EPL,2014/2015,1,2,1.17,0.28,2014-08-16,10,16,0,0,,,,,,,,,,,,,,,,,,,,
9610,Metz,Nantes,August 16 2014,Ligue 1,2014/2015,1,1,1.22,0.62,2014-08-16,11,8,1,3,,,,,,,,,,,,,,,,,,,,
9605,Paris Saint Germain,SC Bastia,August 16 2014,Ligue 1,2014/2015,2,0,1.51,0.16,2014-08-16,12,14,1,1,,,,,,,,,,,,,,,,,,,,
2756,Queens Park Rangers,Hull,August 16 2014,EPL,2014/2015,0,1,1.9,1.12,2014-08-16,12,8,0,0,,,,,,,,,,,,,,,,,,,,
9606,Rennes,Evian Thonon Gaillard,August 16 2014,Ligue 1,2014/2015,6,2,1.82,1.06,2014-08-16,19,20,0,0,,,,,,,,,,,,,,,,,,,,
2757,Stoke,Aston Villa,August 16 2014,EPL,2014/2015,0,1,0.42,0.91,2014-08-16,13,6,0,0,,,,,,,,,,,,,,,,,,,,
9607,Toulouse,Lyon,August 16 2014,Ligue 1,2014/2015,2,1,1.44,1.29,2014-08-16,18,7,0,3,,,,,,,,,,,,,,,,,,,,
2758,West Bromwich Albion,Sunderland,August 16 2014,EPL,2014/2015,2,2,1.68,0.99,2014-08-16,15,13,0,0,,,,,,,,,,,,,,,,,,,,
2759,West Ham,Tottenham,August 16 2014,EPL,2014/2015,0,1,1.85,1.02,2014-08-16,16,15,0,0,,,,,,,,,,,,,,,,,,,,
9613,Bordeaux,Monaco,August 17 2014,Ligue 1,2014/2015,4,1,3.77,0.58,2014-08-17,9,17,3,0,,,,,,,,,,,,,,,,,,,,
2761,Liverpool,Southampton,August 17 2014,EPL,2014/2015,2,1,1.33,1.55,2014-08-17,12,15,0,0,,,,,,,,,,,,,,,,,,,,
9611,Marseille,Montpellier,August 17 2014,Ligue 1,2014/2015,0,2,1.1,1.56,2014-08-17,14,17,1,0,,,,,,,,,,,,,,,,,,,,
2762,Newcastle United,Manchester City,August 17 2014,EPL,2014/2015,0,2,0.97,1.48,2014-08-17,14,13,0,0,,,,,,,,,,,,,,,,,,,,
9612,Saint-Etienne,Reims,August 17 2014,Ligue 1,2014/2015,3,1,2.43,0.29,2014-08-17,9,15,3,1,,,,,,,,,,,,,,,,,,,,
2763,Burnley,Chelsea,August 18 2014,EPL,2014/2015,1,3,0.37,2.13,2014-08-18,12,13,0,0,,,,,,,,,,,,,,,,,,,,
0,Bayern Munich,Wolfsburg,August 22 2014,Bundesliga,2014/2015,2,1,2.57,1.2,2014-08-22,3,18,0,0,,,,,,,,,,,,,,,,,,,,
9614,Evian Thonon Gaillard,Paris Saint Germain,August 22 2014,Ligue 1,2014/2015,0,0,0.63,0.39,2014-08-22,20,3,0,4,,,,,,,,,,,,,,,,,,,,
6177,Almeria,Espanyol,August 23 2014,La liga,2014/2015,1,1,0.98,0.4,2014-08-23,1,10,0,0,,,,,,,,,,,,,,,,,,,,
2764,Aston Villa,Newcastle United,August 23 2014,EPL,2014/2015,0,0,0.51,0.7,2014-08-23,4,20,3,0,,,,,,,,,,,,,,,,,,,,
6,Borussia Dortmund,Bayer Leverkusen,August 23 2014,Bundesliga,2014/2015,0,2,0.48,1.15,2014-08-23,4,3,0,0,,,,,,,,,,,,,,,,,,,,
2765,Chelsea,Leicester,August 23 2014,EPL,2014/2015,2,0,2.03,0.55,2014-08-23,2,10,3,1,,,,,,,,,,,,,,,,,,,,
2766,Crystal Palace,West Ham,August 23 2014,EPL,2014/2015,1,3,0.62,1.34,2014-08-23,14,19,0,0,,,,,,,,,,,,,,,,,,,,
4,Eintracht Frankfurt,Freiburg,August 23 2014,Bundesliga,2014/2015,1,0,1.75,1.38,2014-08-23,5,7,0,0,,,,,,,,,,,,,,,,,,,,
2769,Everton,Arsenal,August 23 2014,EPL,2014/2015,2,2,1.33,1.43,2014-08-23,10,4,1,3,,,,,,,,,,,,,,,,,,,,
5,FC Cologne,Hamburger SV,August 23 2014,Bundesliga,2014/2015,0,0,0.52,0.91,2014-08-23,6,7,0,0,,,,,,,,,,,,,,,,,,,,
6176,Granada,Deportivo La Coruna,August 23 2014,La liga,2014/2015,2,1,0.55,0.38,2014-08-23,12,8,0,0,,,,,,,,,,,,,,,,,,,,
9615,Guingamp,Marseille,August 23 2014,Ligue 1,2014/2015,0,1,0.45,0.71,2014-08-23,13,15,3,1,,,,,,,,,,,,,,,,,,,,
2,Hannover 96,Schalke 04,August 23 2014,Bundesliga,2014/2015,2,1,1.18,0.96,2014-08-23,8,13,0,0,,,,,,,,,,,,,,,,,,,,
3,Hertha Berlin,Werder Bremen,August 23 2014,Bundesliga,2014/2015,2,2,1.76,1.19,2014-08-23,9,14,0,0,,,,,,,,,,,,,,,,,,,,
1,Hoffenheim,Augsburg,August 23 2014,Bundesliga,2014/2015,2,0,1.53,0.28,2014-08-23,11,9,0,0,,,,,,,,,,,,,,,,,,,,
9616,Lille,Lorient,August 23 2014,Ligue 1,2014/2015,2,0,0.78,0.34,2014-08-23,4,5,4,4,,,,,,,,,,,,,,,,,,,,
6174,Malaga,Athletic Club,August 23 2014,La liga,2014/2015,1,0,1.32,1.14,2014-08-23,13,4,0,0,,,,,,,,,,,,,,,,,,,,
9619,Montpellier,Metz,August 23 2014,Ligue 1,2014/2015,2,0,1.59,1.52,2014-08-23,12,15,3,2,,,,,,,,,,,,,,,,,,,,
9617,Nice,Bordeaux,August 23 2014,Ligue 1,2014/2015,1,3,0.83,1.39,2014-08-23,7,2,4,6,,,,,,,,,,,,,,,,,,,,
9618,Reims,Caen,August 23 2014,Ligue 1,2014/2015,0,2,1.87,1.8,2014-08-23,16,10,1,3,,,,,,,,,,,,,,,,,,,,
9620,SC Bastia,Toulouse,August 23 2014,Ligue 1,2014/2015,1,0,1.15,0.71,2014-08-23,16,13,1,3,,,,,,,,,,,,,,,,,,,,
6175,Sevilla,Valencia,August 23 2014,La liga,2014/2015,1,1,1.17,1.75,2014-08-23,16,17,0,0,,,,,,,,,,,,,,,,,,,,
2767,Southampton,West Bromwich Albion,August 23 2014,EPL,2014/2015,0,0,0.67,0.67,2014-08-23,17,12,0,1,,,,,,,,,,,,,,,,,,,,
2768,Swansea,Burnley,August 23 2014,EPL,2014/2015,1,0,0.91,0.84,2014-08-23,7,19,3,0,,,,,,,,,,,,,,,,,,,,
6179,Barcelona,Elche,August 24 2014,La liga,2014/2015,3,0,1.54,0.11,2014-08-24,8,12,0,0,,,,,,,,,,,,,,,,,,,,
8,Borussia M.Gladbach,VfB Stuttgart,August 24 2014,Bundesliga,2014/2015,1,1,2.41,0.43,2014-08-24,10,13,0,0,,,,,,,,,,,,,,,,,,,,
6180,Celta Vigo,Getafe,August 24 2014,La liga,2014/2015,3,1,1.92,0.67,2014-08-24,9,12,0,0,,,,,,,,,,,,,,,,,,,,
6178,Eibar,Real Sociedad,August 24 2014,La liga,2014/2015,1,0,0.47,0.98,2014-08-24,11,15,0,0,,,,,,,,,,,,,,,,,,,,
2770,Hull,Stoke,August 24 2014,EPL,2014/2015,1,1,0.87,1.61,2014-08-24,6,18,3,0,,,,,,,,,,,,,,,,,,,,
6181,Levante,Villarreal,August 24 2014,La liga,2014/2015,0,2,0.35,3.01,2014-08-24,12,15,0,0,,,,,,,,,,,,,,,,,,,,
9621,Lyon,Lens,August 24 2014,Ligue 1,2014/2015,0,1,0.91,1.83,2014-08-24,13,19,3,0,,,,,,,,,,,,,,,,,,,,
9623,Nantes,Monaco,August 24 2014,Ligue 1,2014/2015,0,1,2.59,0.84,2014-08-24,7,20,4,0,,,,,,,,,,,,,,,,,,,,
7,Paderborn,Mainz 05,August 24 2014,Bundesliga,2014/2015,2,2,0.35,1.84,2014-08-24,13,12,0,0,,,,,,,,,,,,,,,,,,,,
9622,Saint-Etienne,Rennes,August 24 2014,Ligue 1,2014/2015,0,0,1.16,0.36,2014-08-24,4,12,6,3,,,,,,,,,,,,,,,,,,,,
2772,Sunderland,Manchester United,August 24 2014,EPL,2014/2015,1,1,0.67,0.94,2014-08-24,12,17,1,0,,,,,,,,,,,,,,,,,,,,
2771,Tottenham,Queens Park Rangers,August 24 2014,EPL,2014/2015,4,0,2.39,1.08,2014-08-24,8,18,3,0,,,,,,,,,,,,,,,,,,,,
2773,Manchester City,Liverpool,August 25 2014,EPL,2014/2015,3,1,1.31,0.9,2014-08-25,7,8,3,3,,,,,,,,,,,,,,,,,,,,
6183,Rayo Vallecano,Atletico Madrid,August 25 2014,La liga,2014/2015,0,0,0.36,0.9,2014-08-25,13,11,0,0,,,,,,,,,,,,,,,,,,,,
6182,Real Madrid,Cordoba,August 25 2014,La liga,2014/2015,2,0,0.61,0.38,2014-08-25,14,13,0,0,,,,,,,,,,,,,,,,,,,,
9,Augsburg,Borussia Dortmund,August 29 2014,Bundesliga,2014/2015,2,3,1.0,2.3,2014-08-29,17,18,0,0,,,,,,,,,,,,,,,,,,,,
6184,Getafe,Almeria,August 29 2014,La liga,2014/2015,1,0,1.32,1.31,2014-08-29,18,8,0,1,,,,,,,,,,,,,,,,,,,,
9624,Marseille,Nice,August 29 2014,Ligue 1,2014/2015,4,0,4.69,0.7,2014-08-29,10,11,4,4,,,,,,,,,,,,,,,,,,,,
6185,Valencia,Malaga,August 29 2014,La liga,2014/2015,3,0,1.97,1.13,2014-08-29,13,7,1,3,,,,,,,,,,,,,,,,,,,,
6187,Athletic Club,Levante,August 30 2014,La liga,2014/2015,3,0,2.26,0.33,2014-08-30,15,19,0,0,,,,,,,,,,,,,,,,,,,,
6188,Atletico Madrid,Eibar,August 30 2014,La liga,2014/2015,2,1,1.37,0.86,2014-08-30,11,7,1,3,,,,,,,,,,,,,,,,,,,,
13,Bayer Leverkusen,Hertha Berlin,August 30 2014,Bundesliga,2014/2015,4,2,2.53,0.71,2014-08-30,1,10,3,1,,,,,,,,,,,,,,,,,,,,
2774,Burnley,Manchester United,August 30 2014,EPL,2014/2015,0,0,0.51,0.47,2014-08-30,18,13,0,1,,,,,,,,,,,,,,,,,,,,
9628,Caen,Rennes,August 30 2014,Ligue 1,2014/2015,0,1,0.42,1.17,2014-08-30,5,8,6,4,,,,1.0,,,,0.0,,,,2.0,,,,0.37,,,,1.6099999999999999
12912,Chievo,Juventus,August 30 2014,Serie A,2014/2015,0,1,0.5,2.37,2014-08-30,5,10,0,0,,,,,,,,,,,,,,,,,,,,
6186,Cordoba,Celta Vigo,August 30 2014,La liga,2014/2015,1,1,0.24,0.79,2014-08-30,18,5,0,3,,,,,,,,,,,,,,,,,,,,
6189,Espanyol,Sevilla,August 30 2014,La liga,2014/2015,1,2,0.95,1.36,2014-08-30,12,14,1,1,,,,,,,,,,,,,,,,,,,,
2780,Everton,Chelsea,August 30 2014,EPL,2014/2015,3,6,1.45,2.03,2014-08-30,10,2,2,6,,,,,,,,,,,,,,,,,,,,
12,Hamburger SV,Paderborn,August 30 2014,Bundesliga,2014/2015,0,3,1.14,2.37,2014-08-30,9,11,1,1,,,,,,,,,,,,,,,,,,,,
9629,Lens,Reims,August 30 2014,Ligue 1,2014/2015,4,2,2.68,1.29,2014-08-30,14,19,3,1,,,,,,,,,,,,,,,,,,,,
9630,Lorient,Guingamp,August 30 2014,Ligue 1,2014/2015,4,0,2.05,0.61,2014-08-30,11,16,4,3,,,,,,,,,,,,,,,,,,,,
2775,Manchester City,Stoke,August 30 2014,EPL,2014/2015,0,1,0.89,0.3,2014-08-30,3,15,6,1,,,,,,,,,,,,,,,,,,,,
9625,Monaco,Lille,August 30 2014,Ligue 1,2014/2015,1,1,1.74,0.21,2014-08-30,16,3,3,7,,,,,,,,,,,,,,,,,,,,
9626,Nantes,Montpellier,August 30 2014,Ligue 1,2014/2015,1,0,1.27,0.13,2014-08-30,11,8,4,6,,,3.0,,,,1.0,,,,1.0,,,,1.81,,,,0.505,
2776,Newcastle United,Crystal Palace,August 30 2014,EPL,2014/2015,3,3,1.7,1.66,2014-08-30,17,19,1,0,,,,,,,,,,,,,,,,,,,,
2777,Queens Park Rangers,Sunderland,August 30 2014,EPL,2014/2015,1,0,1.27,0.96,2014-08-30,20,11,0,2,,,,,,,,,,,,,,,,,,,,
12913,Roma,Fiorentina,August 30 2014,Serie A,2014/2015,2,0,2.24,0.38,2014-08-30,14,7,0,0,,,,,,,,,,,,,,,,,,,,
15,Schalke 04,Bayern Munich,August 30 2014,Bundesliga,2014/2015,1,1,1.31,1.5,2014-08-30,16,4,0,3,,,,,,,,,,,,,,,,,,,,
2778,Swansea,West Bromwich Albion,August 30 2014,EPL,2014/2015,3,0,2.03,0.7,2014-08-30,4,12,6,2,,,,,,,,,,,,,,,,,,,,
9627,Toulouse,Evian Thonon Gaillard,August 30 2014,Ligue 1,2014/2015,1,0,0.85,0.71,2014-08-30,16,20,3,1,,,,,,,,,,,,,,,,,,,,
11,VfB Stuttgart,FC Cologne,August 30 2014,Bundesliga,2014/2015,0,2,0.72,1.3,2014-08-30,11,9,1,1,,,,,,,,,,,,,,,,,,,,
10,Werder Bremen,Hoffenheim,August 30 2014,Bundesliga,2014/2015,1,1,2.51,1.3,2014-08-30,11,5,1,3,,,,,,,,,,,,,,,,,,,,
2779,West Ham,Southampton,August 30 2014,EPL,2014/2015,1,3,0.64,1.58,2014-08-30,9,17,3,1,,,,,,,,,,,,,,,,,,,,
14,Wolfsburg,Eintracht Frankfurt,August 30 2014,Bundesliga,2014/2015,2,2,1.0,1.6,2014-08-30,17,6,0,3,,,,,,,,,,,,,,,,,,,,
12915,AC Milan,Lazio,August 31 2014,Serie A,2014/2015,3,1,2.01,2.04,2014-08-31,3,10,0,0,,,,,,,,,,,,,,,,,,,,
2781,Aston Villa,Hull,August 31 2014,EPL,2014/2015,2,1,0.64,0.29,2014-08-31,6,7,4,4,,,,,,,,,,,,,,,,,,,,
12914,Atalanta,Verona,August 31 2014,Serie A,2014/2015,0,0,0.88,0.73,2014-08-31,4,17,0,0,,,,,,,,,,,,,,,,,,,,
9631,Bordeaux,SC Bastia,August 31 2014,Ligue 1,2014/2015,1,1,1.36,1.03,2014-08-31,1,13,9,4,,,,,,,,,,,,,,,,,,,,
12917,Cesena,Parma Calcio 1913,August 31 2014,Serie A,2014/2015,1,0,1.09,0.44,2014-08-31,7,13,0,0,,,,,,,,,,,,,,,,,,,,
6192,Deportivo La Coruna,Rayo Vallecano,August 31 2014,La liga,2014/2015,2,2,1.9,2.24,2014-08-31,17,13,0,1,,,,,,,,,,,,,,,,,,,,
6190,Elche,Granada,August 31 2014,La liga,2014/2015,1,1,1.36,0.76,2014-08-31,19,9,0,3,,,,,,,,,,,,,,,,,,,,
17,Freiburg,Borussia M.Gladbach,August 31 2014,Bundesliga,2014/2015,0,0,1.3,0.32,2014-08-31,17,10,0,1,,,,,,,,,,,,,,,,,,,,
12918,Genoa,Napoli,August 31 2014,Serie A,2014/2015,1,2,0.52,1.79,2014-08-31,9,11,0,0,,,,,,,,,,,,,,,,,,,,
2783,Leicester,Arsenal,August 31 2014,EPL,2014/2015,1,1,0.81,2.3,2014-08-31,18,6,1,4,,,,,,,,,,,,,,,,,,,,
16,Mainz 05,Hannover 96,August 31 2014,Bundesliga,2014/2015,0,0,1.01,0.56,2014-08-31,11,7,1,3,,,,,,,,,,,,,,,,,,,,
9632,Metz,Lyon,August 31 2014,Ligue 1,2014/2015,2,1,1.51,2.15,2014-08-31,18,16,2,3,,,,,,,,,,,,,,,,,,,,
12916,Palermo,Sampdoria,August 31 2014,Serie A,2014/2015,1,1,0.92,0.8,2014-08-31,11,12,0,0,,,,,,,,,,,,,,,,,,,,
9633,Paris Saint Germain,Saint-Etienne,August 31 2014,Ligue 1,2014/2015,5,0,1.61,0.38,2014-08-31,12,3,5,7,,,,,,,,,,,,,,,,,,,,
6193,Real Sociedad,Real Madrid,August 31 2014,La liga,2014/2015,4,2,2.74,2.32,2014-08-31,19,8,0,3,,,,,,,,,,,,,,,,,,,,
12919,Sassuolo,Cagliari,August 31 2014,Serie A,2014/2015,1,1,1.08,0.85,2014-08-31,13,10,0,0,,,,,,,,,,,,,,,,,,,,
12920,Torino,Inter,August 31 2014,Serie A,2014/2015,0,0,1.1,1.31,2014-08-31,14,13,0,0,,,,,,,,,,,,,,,,,,,,
2782,Tottenham,Liverpool,August 31 2014,EPL,2014/2015,0,3,0.49,2.74,2014-08-31,4,10,6,3,,,,,,,,,,,,,,,,,,,,
12921,Udinese,Empoli,August 31 2014,Serie A,2014/2015,2,0,1.69,0.69,2014-08-31,15,14,0,0,,,,,,,,,,,,,,,,,,,,
6191,Villarreal,Barcelona,August 31 2014,La liga,2014/2015,0,1,1.11,3.13,2014-08-31,8,6,3,3,,,,,,,,,,,,,,,,,,,,
6194,Almeria,Cordoba,September 12 2014,La liga,2014/2015,1,1,1.04,0.76,2014-09-12,15,18,1,1,,,,,,,,,,,,,,,,,,,,
18,Bayer Leverkusen,Werder Bremen,September 12 2014,Bundesliga,2014/2015,3,3,1.98,1.73,2014-09-12,1,11,6,2,,,,,,,,,,,,,,,,,,,,
9634,Lyon,Monaco,September 12 2014,Ligue 1,2014/2015,2,1,1.79,0.92,2014-09-12,17,15,3,4,3.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,5.0,7.0,1.0,4.0,1.6025,1.3125,1.485,0.71,1.2899999999999998,2.05,1.105,3.1799999999999997
2784,Arsenal,Manchester City,September 13 2014,EPL,2014/2015,2,2,2.08,2.31,2014-09-13,7,4,5,6,,,,,,,,,,,,,,,,,,,,
6195,Barcelona,Athletic Club,September 13 2014,La liga,2014/2015,2,0,2.18,0.1,2014-09-13,1,7,6,3,,,,,,,,,,,,,,,,,,,,
20,Bayern Munich,VfB Stuttgart,September 13 2014,Bundesliga,2014/2015,2,0,1.23,0.31,2014-09-13,5,16,4,1,,,,,,,,,,,,,,,,,,,,
21,Borussia Dortmund,Freiburg,September 13 2014,Bundesliga,2014/2015,3,1,1.72,0.26,2014-09-13,9,12,3,1,,,,,,,,,,,,,,,,,,,,
24,Borussia M.Gladbach,Schalke 04,September 13 2014,Bundesliga,2014/2015,4,1,3.38,1.82,2014-09-13,10,12,2,1,,,,,,,,,,,,,,,,,,,,
6198,Celta Vigo,Real Sociedad,September 13 2014,La liga,2014/2015,2,2,2.85,1.3,2014-09-13,3,7,4,3,,,,,,,,,,,,,,,,,,,,
2785,Chelsea,Swansea,September 13 2014,EPL,2014/2015,4,2,3.57,1.02,2014-09-13,1,2,9,9,,,,,,,,,,,,,,,,,,,,
2786,Crystal Palace,Burnley,September 13 2014,EPL,2014/2015,0,0,0.78,1.25,2014-09-13,20,19,1,1,,,,,,,,,,,,,,,,,,,,
12922,Empoli,Roma,September 13 2014,Serie A,2014/2015,0,1,0.59,1.37,2014-09-13,18,2,0,3,,,,,,,,,,,,,,,,,,,,
22,Hertha Berlin,Mainz 05,September 13 2014,Bundesliga,2014/2015,1,3,1.72,2.37,2014-09-13,13,11,1,2,,,,,,,,,,,,,,,,,,,,
19,Hoffenheim,Wolfsburg,September 13 2014,Bundesliga,2014/2015,1,1,1.16,1.64,2014-09-13,8,12,4,1,,,,,,,,,,,,,,,,,,,,
12923,Juventus,Udinese,September 13 2014,Serie A,2014/2015,2,0,1.11,0.2,2014-09-13,5,3,3,3,,,,,,,,,,,,,,,,,,,,
2791,Liverpool,Aston Villa,September 13 2014,EPL,2014/2015,0,1,0.73,0.7,2014-09-13,5,4,6,7,,,,,,,,,,,,,,,,,,,,
6196,Malaga,Levante,September 13 2014,La liga,2014/2015,0,0,0.82,0.36,2014-09-13,13,20,3,0,,,,,,,,,,,,,,,,,,,,
9638,Montpellier,Lorient,September 13 2014,Ligue 1,2014/2015,1,0,1.49,0.38,2014-09-13,10,4,6,7,6.0,7.0,3.0,3.0,4.0,6.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0750000000000002,1.2625,1.3050000000000002,0.985,1.1600000000000001,0.9525,1.135,1.435
9639,Nice,Metz,September 13 2014,Ligue 1,2014/2015,1,0,0.79,0.51,2014-09-13,17,14,4,5,4.0,5.0,3.0,1.0,4.0,3.0,4.0,0.0,9.0,4.0,5.0,2.0,1.0175,1.0775,1.52,0.79,2.1675,1.475,1.475,1.565
23,Paderborn,FC Cologne,September 13 2014,Bundesliga,2014/2015,0,0,0.33,0.39,2014-09-13,7,8,4,4,,,,,,,,,,,,,,,,,,,,
6197,Real Madrid,Atletico Madrid,September 13 2014,La liga,2014/2015,1,2,1.59,1.11,2014-09-13,12,4,3,4,,,,,,,,,,,,,,,,,,,,
9637,Reims,Toulouse,September 13 2014,Ligue 1,2014/2015,2,0,0.3,1.54,2014-09-13,19,14,1,6,1.0,6.0,1.0,0.0,5.0,5.0,2.0,2.0,11.0,5.0,4.0,4.0,1.205,1.1400000000000001,1.62,1.135,2.3925,1.3399999999999999,2.23,1.68
9635,Rennes,Paris Saint Germain,September 13 2014,Ligue 1,2014/2015,1,1,0.29,1.49,2014-09-13,6,3,7,8,7.0,8.0,,2.0,7.0,9.0,,2.0,4.0,2.0,,2.0,0.9324999999999999,1.5425,,1.5250000000000001,1.1749999999999998,0.635,,1.0
9640,SC Bastia,Lens,September 13 2014,Ligue 1,2014/2015,1,1,0.69,0.3,2014-09-13,15,12,5,6,5.0,6.0,4.0,3.0,5.0,5.0,4.0,1.0,6.0,4.0,3.0,1.0,0.9349999999999999,1.3975,1.275,1.0,1.225,1.0575,1.0150000000000001,0.97
9636,Saint-Etienne,Caen,September 13 2014,Ligue 1,2014/2015,1,0,1.41,0.54,2014-09-13,10,12,7,6,7.0,6.0,4.0,6.0,5.0,5.0,3.0,5.0,6.0,2.0,1.0,0.0,1.3675000000000002,0.9325000000000001,1.795,1.52,0.7225,1.2000000000000002,0.32499999999999996,1.34
2787,Southampton,Newcastle United,September 13 2014,EPL,2014/2015,4,0,2.12,1.15,2014-09-13,8,16,4,2,,,,,,,,,,,,,,,,,,,,
2788,Stoke,Leicester,September 13 2014,EPL,2014/2015,0,1,1.65,0.6,2014-09-13,10,15,4,2,,,,,,,,,,,,,,,,,,,,
2789,Sunderland,Tottenham,September 13 2014,EPL,2014/2015,2,2,0.34,2.04,2014-09-13,15,6,2,6,,,,,,,,,,,,,,,,,,,,
2790,West Bromwich Albion,Everton,September 13 2014,EPL,2014/2015,0,2,0.6,0.81,2014-09-13,19,18,2,2,,,,,,,,,,,,,,,,,,,,
12928,Cagliari,Atalanta,September 14 2014,Serie A,2014/2015,1,2,3.01,0.62,2014-09-14,8,7,1,1,,,,,,,,,,,,,,,,,,,,
25,Eintracht Frankfurt,Augsburg,September 14 2014,Bundesliga,2014/2015,0,1,0.85,1.0,2014-09-14,9,18,4,0,,,,,,,,,,,,,,,,,,,,
9643,Evian Thonon Gaillard,Marseille,September 14 2014,Ligue 1,2014/2015,1,3,0.91,1.12,2014-09-14,20,7,1,7,1.0,7.0,1.0,4.0,2.0,8.0,0.0,4.0,10.0,5.0,3.0,3.0,0.8025,1.955,0.72,1.0150000000000001,1.075,1.0274999999999999,0.815,0.9249999999999999
12927,Fiorentina,Genoa,September 14 2014,Serie A,2014/2015,0,0,2.1,0.23,2014-09-14,18,16,0,0,,,,,,,,,,,,,,,,,,,,
6202,Granada,Villarreal,September 14 2014,La liga,2014/2015,0,0,0.42,0.63,2014-09-14,5,9,4,3,,,,,,,,,,,,,,,,,,,,
9642,Guingamp,Bordeaux,September 14 2014,Ligue 1,2014/2015,2,1,1.69,0.29,2014-09-14,19,1,3,10,3.0,10.0,0.0,6.0,1.0,9.0,0.0,4.0,7.0,3.0,3.0,1.0,0.6725,1.8175,0.54,1.0699999999999998,1.2925,0.865,1.105,0.925
26,Hannover 96,Hamburger SV,September 14 2014,Bundesliga,2014/2015,2,0,2.23,0.98,2014-09-14,9,15,4,1,,,,,,,,,,,,,,,,,,,,
12929,Inter,Sassuolo,September 14 2014,Serie A,2014/2015,7,0,3.97,0.48,2014-09-14,8,11,1,1,,,,,,,,,,,,,,,,,,,,
12925,Lazio,Cesena,September 14 2014,Serie A,2014/2015,3,0,1.55,0.15,2014-09-14,19,6,0,3,,,,,,,,,,,,,,,,,,,,
9641,Lille,Nantes,September 14 2014,Ligue 1,2014/2015,2,0,1.46,0.99,2014-09-14,6,10,8,7,8.0,7.0,4.0,,4.0,3.0,2.0,,1.0,2.0,0.0,,0.87,1.3775,1.1600000000000001,,0.6025,0.59,0.2,
2792,Manchester United,Queens Park Rangers,September 14 2014,EPL,2014/2015,4,0,2.21,0.56,2014-09-14,16,15,2,3,,,,,,,,,,,,,,,,,,,,
12926,Napoli,Chievo,September 14 2014,Serie A,2014/2015,0,1,2.21,0.67,2014-09-14,7,18,3,0,,,,,,,,,,,,,,,,,,,,
